number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9076001261431725,2024-05-20 18:26:32.212183,2024-05-20 18:27:09.136149,0 days 00:00:36.923966,35,2,8,139,COMPLETE
1,0.9075409965310628,2024-05-20 18:27:09.137141,2024-05-20 18:27:45.989677,0 days 00:00:36.852536,89,1,8,128,COMPLETE
2,0.9075804162724692,2024-05-20 18:27:45.991675,2024-05-20 18:28:12.837453,0 days 00:00:26.845778,44,1,10,91,COMPLETE
3,0.908349101229896,2024-05-20 18:28:12.838450,2024-05-20 18:28:29.459754,0 days 00:00:16.621304,34,3,8,61,COMPLETE
4,0.9076592557552823,2024-05-20 18:28:29.460753,2024-05-20 18:28:49.581319,0 days 00:00:20.120566,73,3,9,75,COMPLETE
5,0.9076986754966887,2024-05-20 18:28:49.583315,2024-05-20 18:29:41.266852,0 days 00:00:51.683537,86,4,9,191,COMPLETE
6,0.9072847682119205,2024-05-20 18:29:41.269291,2024-05-20 18:30:09.297299,0 days 00:00:28.028008,60,2,3,87,COMPLETE
7,0.9076789656259855,2024-05-20 18:30:09.299294,2024-05-20 18:31:48.455566,0 days 00:01:39.156272,47,2,7,149,COMPLETE
8,0.907639545884579,2024-05-20 18:31:48.456569,2024-05-20 18:32:33.127984,0 days 00:00:44.671415,97,2,9,73,COMPLETE
9,0.9035596026490066,2024-05-20 18:32:33.129984,2024-05-20 18:35:23.070094,0 days 00:02:49.940110,61,1,2,176,COMPLETE
10,0.9081125827814569,2024-05-20 18:35:23.071105,2024-05-20 18:35:44.045825,0 days 00:00:20.974720,10,4,5,52,COMPLETE
11,0.90819142226427,2024-05-20 18:35:44.049650,2024-05-20 18:36:09.898003,0 days 00:00:25.848353,11,4,5,57,COMPLETE
12,0.9084673604541155,2024-05-20 18:36:09.906215,2024-05-20 18:36:49.641451,0 days 00:00:39.735236,13,3,5,54,COMPLETE
13,0.9078563544623147,2024-05-20 18:36:49.645632,2024-05-20 18:38:17.292371,0 days 00:01:27.646739,26,3,6,103,COMPLETE
14,0.907797224850205,2024-05-20 18:38:17.294677,2024-05-20 18:40:19.279935,0 days 00:02:01.985258,25,3,4,110,COMPLETE
15,0.9082899716177862,2024-05-20 18:40:19.285592,2024-05-20 18:41:15.448196,0 days 00:00:56.162604,23,3,6,50,COMPLETE
16,0.9075804162724692,2024-05-20 18:41:15.462518,2024-05-20 18:42:36.103977,0 days 00:01:20.641459,37,3,7,71,COMPLETE
17,0.9080534531693472,2024-05-20 18:42:36.107260,2024-05-20 18:44:22.001164,0 days 00:01:45.893904,18,4,4,112,COMPLETE
18,0.908033743298644,2024-05-20 18:44:22.004696,2024-05-20 18:46:39.439949,0 days 00:02:17.435253,32,3,7,162,COMPLETE
19,0.9077578051087984,2024-05-20 18:46:39.444766,2024-05-20 18:48:17.613952,0 days 00:01:38.169186,48,2,5,91,COMPLETE
20,0.9078366445916115,2024-05-20 18:48:17.617951,2024-05-20 18:49:11.462074,0 days 00:00:53.844123,17,4,2,65,COMPLETE
21,0.9082899716177862,2024-05-20 18:49:11.464076,2024-05-20 18:49:47.365343,0 days 00:00:35.901267,23,3,6,51,COMPLETE
22,0.9076001261431725,2024-05-20 18:49:47.367465,2024-05-20 18:50:39.902999,0 days 00:00:52.535534,34,3,6,63,COMPLETE
23,0.9079351939451277,2024-05-20 18:50:39.906666,2024-05-20 18:51:56.757344,0 days 00:01:16.850678,18,3,4,84,COMPLETE
24,0.9075015767896563,2024-05-20 18:51:56.760280,2024-05-20 18:52:46.786796,0 days 00:00:50.026516,28,3,8,51,COMPLETE
25,0.907560706401766,2024-05-20 18:52:46.791778,2024-05-20 18:54:09.332034,0 days 00:01:22.540256,42,2,7,77,COMPLETE
26,0.9085067801955219,2024-05-20 18:54:09.335690,2024-05-20 18:55:22.418804,0 days 00:01:13.083114,14,3,5,100,COMPLETE
27,0.9078957742037213,2024-05-20 18:55:22.423866,2024-05-20 18:56:56.771539,0 days 00:01:34.347673,15,4,3,101,COMPLETE
28,0.9082308420056765,2024-05-20 18:56:56.773801,2024-05-20 18:58:00.994820,0 days 00:01:04.221019,10,3,5,131,COMPLETE
29,0.907639545884579,2024-05-20 18:58:01.000565,2024-05-20 18:59:42.469247,0 days 00:01:41.468682,54,2,10,118,COMPLETE
